desc,shortDesc,condition
ProLiant DL380 G4 **Refurbished** Rack Servers,"Intel Xeon Silver 4310 2.1GHz Twelve Core Processor, 12C/24T, 10.4GT/s, 18M Cache, Turbo, HT (120W) DDR42666",Refurbished
3RD PARTY REFURBISHED GOOGLE PIXEL 2,"480GB SSD SATA Read Intensive 6Gbps 512e 2.5in with 3.5"" HYB CARR 1 DWPD , Cus Kit",Refurbished
"""AC Power Supply **Refurbished** Power""","Asus R565EAUH31T Core™️ i31115G4 128GB SSD 4GB 15.6"" (1920X1080) WIN10 SLATE GRAY",Refurbished
"""3551001/2 Front Bezel **Refurbished** Other Option Products""","ASUS ROG STRIX G513RCHN056 Gaming Ryzen™️  7 6800H 1TB SSD 8GB GB RAM 15.6"" FHD (1980x1080) 144Hz BT NVIDIA®️ RTX 3050 4096MB Backlit Keyboard GRAY",Refurbished
"""3551001/2 Cable Adapter Card **Refurbished** Adapter""","PowerEdge R750xs, Intel Xeon Silver 4310 2.1G 12C/24T 10.4GT/s 18M Cache Turbo HT (120W), 3.5"" Chassis with up to 8 Hard Drives (SAS/SATA) 1 CPU, 16GB RDIMM 3200MT/s Dual Rank, iDRAC9 Enterprise 15G, 1.2TB 10k Hard Drive SAS ISE 12Gbps  512n 2.5in with 3.5in HYB CARR, PERC H755 SAS Front, No Internal Optical Drive, Dual HotPlug PSU (1+1) 800W Mixed Mode, TPM2.0 V3, Broadcom 57416 Dual Port 10GbE BASET Adapter OCP NIC 3.0, Broadcom 5719 Quad Port 1GbE BASET Adapter PCIe Low Profile, ReadyRails Sliding Rails Without Cable Management Arm, 3Y Prosupport",Refurbished
"""NetMEDIA Storage Expansion U **Refurbished** Other Option Products""","HP AllinOne 24dp1031nh PC  Intel® Core™ i71165G7  8 GB memory; 1 TB HDD  23.8"" Touch DVDRW FreeDOS Natural Silver  English KB",Refurbished
"""400W HS PWR. SUPPLY ASM **Refurbished** Power""","TOSHIBA N300 3.5"" 7200 RPM NAS HDD6TB 3 Years Replacement Warranty",Refurbished
"""NF5500M10 3U FRONT BEZEL ASM **Refurbished** Cover Parts""","Lexar® Professional 2000x SDHC™ UHSII cards, up to 300MB/s read 260MB/s write C10 V90 U3  256GB",Refurbished
"""NF5500M10 PCI SWITCH CARD **Refurbished** Network""","Now you can easily attract customers to your business with the Actiontek Acrylic LED Sign. This sign features bright red and blue LED lights that spell out the word Abierto, which is Spanish for Open. The sign is bright, crisp, and eyecatching, making it perfect for drawing attention and attracting customers. Plus, LED lighting means lower energy cost, higher durability, and virtually no maintenance, making this a great option for your business. The sign measures roughly 23 inches wide and 12.6 inches high and includes a cord for easy hanging.",Refurbished
"""400W HS PWR. SUPPLY ASM **Refurbished** Power""","When you're on the go and don't want to carry a phone and a wallet, the perfect solution is the Chil Attraction Jacket Magnetic Wallet and Case for iPhone 6 Plus. This convenient duo includes both a slim shell and magnetic folio designed to hold and protect your iPhone 6 Plus. Just slip your phone into the shell and the shell then attaches to the folio via builtin magnets. But, the folio isn't just for protection. It includes 2 credit cardsafe card slots and folds into different viewing angles so you can watch a video or FaceTime with friends. The magnetic shell is compatible with other magnetic mounting solutions, and is easily interchangeable with other Chil Attraction Jackets for a personalized look.",Refurbished
"""Xseries 445 Dc Cable **Refurbished** Bags/cables""","HP ProDesk 400 G6 MT, Intel Core  i510500 with with Intel UHD Graphics 630 (3.0 GHz, 9 MB cache, 6 cores), 4GB RAM, 1TB SATA, DVDWR, HP USB Keyboard & Mouse , DOS, 1 Yr Warranty",Refurbished
"""X440/445 RISER CARD **Refurbished** Other Option Products""","HP ProDesk 400 G6 MT 310W, Intel Core i710700 with Intel UHD Graphics 630 (3.0 GHz, 12 MB cache, 8 cores), 4GB RAM, 1TB SATA, DVDWR, HP USB Keyboard and Mouse, DOS, 1 Yr Warranty",Refurbished
"""Xseries 445 Media Bay Card **Refurbished** Other Option Products""","300GB 10K RPM SAS 6Gbps 2.5in Hotplug Hard Drive,3.5in HYB CARR,13G,CusKit",Refurbished
"""HDD DRIVE CARD X 440 **Refurbished** Other Option Products""",Fellowes Thermal Cover (Pkt. Of 50)    20MM (White Color),Refurbished
"""Xseries 445 Light Path Card **Refurbished** Other Option Products""",Fellowes Thermal Cover (Pkt. Of 100)  8MM (White Color),Refurbished
"""Fan Assy for XSeries **Refurbished** Other Option Products""","HP VICTUS 15FA 0026 GAMING Core™ i512500H 512GB SSD 8GB 15.6"" (1920x1080) 144Hz IPS FREE DOS NVIDIA® GTX 1650 4096MB white Backlit kbd",Refurbished
"""X Series 445 Pci Fan **Refurbished** Other Option Products""","OptiPlex 7000 SFF, Ubuntu Linux 20.04, 12th Generation Intel Core i712700 (12Cores/25MB/20T/2.1GHz to 4.9GHz/65W); 4GB (1x4GB) DDR4 NonECC Memory, 3.5 inch 1TB 7200rpm Hard Disk Drive",Refurbished
"""Netfinity Fibre Channel shor **Refurbished** Other Option Products""","Lenovo ThinkSystem ST50 Server   Xeon E2126G  (6C 3.3GHz 12MB Cache/80W), SW RAID, 2x2TB SATA, 1x16GB, 250W, No DVD, 3 year",Refurbished
"""2M Ultra2SCSI LVDS external **Refurbished** Other Option Products""","10piece Impact Drilling Set; Includes Two 1/8"", One 9/64"", One 5/32"", One 11/64"", One 3/16"", One 7?32"";top Case For Power Tools & Small Parts With An Integrated Handle; Long Metal Carry Handle For Easy Grip When Carrying; Heavyduty Design For Durable Structure; Front Pushbutton For Easy Detaching/attaching Of The Case To The Tote Uni; Heavyduty Antirust Metal Latches On Top Of Case;110 Lumen; Water Resistant; 3 Hour Run Time; 130 M Beam; Aluminum Alloy Construction; Dual Push Button Switches; Tail Cap; Includes 4 Red Leds & 3 Aaa Batteries",Refurbished
"""4.2M Ultra2SCSI LVDS externa **Refurbished** Other Option Products""","Lenovo  Ideapad 1i 14.0"" HD Laptop  Celeron N4020  4GB Memory  64GB eMMC  Cloud Grey 82V6S00000",Refurbished
"""Xseries Carry Handle **Refurbished** Other Option Products""",ASUS X515EPBQ005W Core?? i51135G7 512GB SSD 8GB 15.6'' FHD (1920X1080) 2GB NVIDIA MX330 GRAPHICS WIN11 SILVER,Refurbished
"""Xseries 445 Cable Dc **Refurbished** Bags/cables""","Asus TUF Dash FX517ZR GAMING Core™️ i712650H 1TB SSD 16GB 15.6"" (1920x1080) 144Hz IPS FREE DOS NVIDIA®️ RTX 3060 6144MB OFF BLACK Backlit",Refurbished
"""Xseries 445 Media Bay Cable **Refurbished** Bags/cables""","OptiPlex 7090 Mini Tower, Intel Core i711700 ( 8 Cores/ 16MB /16T / 3.6GHz to 5.00GHz/65W) , 4GB (1x4GB) 2666MHz DDR4 Memory, 1TB SATA Hard Disk Drive, 8x DVD+/RW 9.5mm Optical Disk Drive ,Keyboard   (QWERTY)  Black, Ubuntu Linux 18.04, 1Yr Next Business Day (Emerging Only)",Refurbished
"""Xseries 445 Processor Fan **Refurbished** Processors""","Dell 24 Gaming Monitor  SE2417HG  60cm(23.6"") Black UK",Refurbished
"""Xseries 445 I2X Cable **Refurbished** Bags/cables""","DELL U2719DC 68.6cm(27"") UltraSharp InfinityEdge, USBC, QHD (2560x1440) resolution Black",Refurbished
"""Xseries 445 Usb Cable **Refurbished** Bags/cables""","Dell Latitude 3420, i51135G7 (4Core, 8M cache, base 2.4GHz, up to 4.2GHz), 8GB DDR4,512GB NVMe Class 35 SSD  Hard Drive,NVIDIA GeForce MX450 (2GB DDR5),Touch Fingerprint Reader in Power Button, 14"" HD (1366 x 768) AG NonTouch, Camera & Microphone, WLAN Capable, 3 Cell 41Whr Battery, WLAN Intel AX201 WLAN + BT Driver (Wifi + Bluetooth), Single Pointing Backlit Keyboard, English Arabic KB,Ubuntu, 1Year ProSupport NBD",Refurbished
"""Nf5500M10 Cdrom Signal Cbl Ide **Refurbished** Other Option Products""","Dell Latitude 3520, i51135G7 (4Core, 8M cache, base 2.4GHz, up to 4.2GHz), 8GB DDR4,512GB NVMe Class 35 SSD Hard Drive, NVIDIA GeForce MX450 (2GB DDR5),Touch Fingerprint Reader in Power Button, 15.6"" HD (1366 x 768) AG NonTouch, 220nits, Camera & Microphone , WLAN Capable, 3 Cell 41Whr Battery, WLAN Intel AX201 WLAN + BT Driver (Wifi + Bluetooth), Single Pointing Backlit Keyboard, English Arabic KB,Ubuntu, 1Year ProSupport NBD",Refurbished
"""FRONT PANEL TO I/O FUNC. CD CB **Refurbished** Bags/cables""","Dell Latitude E5410, 10th Generation Intel Core i710810U (6 Core, 12M cache, base 1.1GHz, up to 4.9GHz,vPro) , 8GB (1 X 8G) DDR4 Memory, 2.5"" 7mm 1TB 5400 RPM SATA Hard Drive , AMD Radeon RX 640 Graphics, Intel Dual Band Wireless AC 9560 (802.11ac) 2x2 + Bluetooth 5.0 , Dual Pointing, Contacted SmartCard Reader, Dual Point, No Smart Card Reader and No Fingerprint Reader Palmrest, No Mobile Broadband Card , 35.6cm 14"" FHD WVA (1920 x 1080) AntiGlare NonTouch, 220nits, Cam & Mic/WLAN + BT/ Internal Arabic Qwerty DualPointing Backlit Keyboard /Primary 3cell 51W/HR Battery / Windows 10 Pro 64bit  , 1Yr Basic warranty  Next Business Day",Refurbished
"""6275 Fan/Powerswitch Assy **Refurbished** Other Option Products""","Dell Latitude 7320, i51135G7 (4Core, 8M cache, base 2.4GHz, up to 4.2GHz),, 8GB (1 x 8G) DDR4 Memory, M.2 256GB PCIe NVMe Solid State Drive , Integrated UHD Graphics 620 / 13.3"" FHD (1920 x 1080) AG, SLP, 2.7mm HD Cam/Mic, WLAN, Carbon Fiber, NonTouch, Touch Fingerprint Reader in Power Button, FIPS 201 Contacted Smart Card Reader, Intel Dual Band Wireless AC 9560 (802.11ac) 2x2 + Bluetooth 5.0 ,  4 Cell 52WHr Express Charge Capable Battery, Internal Arabic Qwerty SinglePointing Backlit Keyboard / Windows 10 Pro 64bit , Microsoft Office 2013 Trial (TOPK), 3Yr Pro Support warranty  Next Business Day",Refurbished
"""12.1 TFT LCD **Refurbished** Other Option Products""","Dell Latitude 7310, Intel Core i510210U (4 Core, 6M cache, base 1.6GHz, up to 4.2GHz), 8GB (1 x 8G) DDR4 Memory, M.2 512GB PCIe NVMe Solid State Drive , Integrated UHD Graphics 620 / 13.3"" FHD (1920 x 1080) AG, SLP, 2.7mm HD Cam/Mic, WLAN, Carbon Fiber, NonTouch, Touch Fingerprint Reader in Power Button, FIPS 201 Contacted Smart Card Reader, Intel? Dual Band Wireless AC 9560 (802.11ac) 2x2 + Bluetooth 5.0 ,  4 Cell 52WHr Express Charge Capable Battery, Internal Arabic Qwerty SinglePointing Backlit Keyboard / Windows 10 Pro 64bit , Microsoft Office 2013 Trial (TOPK), 3Yr Basic warranty  Next Business Day",Refurbished
"""6889 SYS BRD W/O PROC **Refurbished** Motherboards""","Dell Latitude 7310, Intel Core i710610U, 16GB DDR4 Memory, M.2 512GB PCIe NVMe Solid State Drive , Integrated UHD Graphics 620 / 13.3"" FHD (1920 x 1080) AG, SLP, 2.7mm HD Cam/Mic, WLAN, Carbon Fiber, NonTouch, Touch Fingerprint Reader in Power Button, FIPS 201 Contacted Smart Card Reader, Intel Dual Band Wireless AC 9560 (802.11ac) 2x2 + Bluetooth 5.0 ,  4 Cell 52WHr Express Charge Capable Battery, Internal Arabic Qwerty SinglePointing Backlit Keyboard / Windows 10 Pro 64bit , Microsoft Office 2013 Trial (TOPK), 3Yr Pro Support warranty  Next Business Day",Refurbished
"""2.5V Voltage Regultr **Refurbished** Electrical Parts""","Dell Latitude 7410,  i710810U 6Core Processor , 16GB (1 X 16G) DDR4 Memory, M.2 512GB PCIe NVMe Solid State Drive , Integrated UHD Graphics 620 / 14.0"" FHD (1920 x 1080) AG, NonTouch, SLP,6.0mm Cam/Mic, WLAN/WWAN ,Fingerprint Reader in Power Button, FIPS 201 Contacted Smart Card Reader, Intel? Dual Band Wireless AC 9560 (802.11ac) 2x2 + Bluetooth 5.0 , 4 Cell 52WHr Express Charge Capable Battery ,Single Point Keyboard Arabic with backlight / Windows 10 Pro 64bit , Microsoft Office 2013 Trial (TOPK), 3Yr Basic warranty  Next Business Day",Refurbished
"""Memory Expansion Brd **Refurbished** Electrical Parts""","Dell Vostro Notebook 3400, i31115G4, 4GB, 1TB SATA HDD,14.0"" HD,Intel UHD,Cam & Mic,WLAN + BT,Kb Arabic (QWERTY), ,Internal Arabic Keyboard (Non Backlit) / Ubuntu Linux 16.04, Primary 3Cell Battery, English, 1Yr Basic warranty  Next Business",Refurbished
"""Memory Exp Board **Refurbished** Electrical Parts""","1TB 7.2K SATA Entry 3.5in Cabled Hard Drive For T40, T150",Refurbished
"""Memory Exp Board **Refurbished** Electrical Parts""","PE R730 (3.5"" Chassis with up to 8 Hard Drives) /Intel Xeon E52630 v4 (2.2GHz,25M Cache,8.00GT/s QPI,Turbo,HT,10C/20T 85W) / 8GB (1x 8GB 2133MT/s, RDIMM, Low Volt, Dual Rank) / Heat Sink for Power Edge R730 / 2 x 600GB 15K RPM SAS 6Gbps Hotplug 3.5in Hard Disks / PERC H730 Integrated RAID Controller, 1GB Cache / 16X DVD+/RW Drive / Dual, Hotplug, Redundant Power Supply (1+1), 750W/ iDRAC8 Enterprise / Broadcom 5720 QP 1Gb Network Daughter Card / 3Yrs Basic Warranty  NBD (Emerging Only)",Refurbished
"""Memory Expansion Brd **Refurbished** Electrical Parts""","PE R730 (3.5"" Chassis with up to 8 Hard Drives) / Intel Xeon E52650 v4 (2.2GHz,30M Cache,9.60GT/s QPI,Turbo,HT,12C/24T 105W)  / 8GB (1x 8GB 2133MT/s, RDIMM, Low Volt, Dual Rank) / Heat Sink for Power Edge R730 / 2 x 600GB 15K RPM SAS 6Gbps Hotplug 3.5in Hard Disks / PERC H730 Integrated RAID Controller, 1GB Cache / 16X DVD+/RW Drive / Dual, Hotplug, Redundant Power Supply (1+1), 750W/ iDRAC8 Enterprise / Broadcom 5720 QP 1Gb Network Daughter Card / 3Yrs Basic Warranty  NBD (Emerging Only)",Refurbished
"""4GB Single Port Fibre PCIX **Refurbished** Controllers""","SSL VPN Router (PPTP/L2TP/IPSec), 3 x Gigabit LAN, 2 x WAN with  1 Configurable WAN/LAN  port, IPv6, OSPF, RIP, 1 x USB 3.0 port for Storage, 3G/4G USB adapter, EU/UK Plug",Refurbished
"""4GB FC PCIX Adapter **Refurbished** Network""","Secure your digital memories in style with the BUILT Neoprene Compact Camera Envelope.  This slim and stylish camera case is made of protective neoprene, which stretches to fit compact pointandshoots with a plush inner lining to help defend your camera and LCD screen against nicks. An interior zip pocket is perfect for storing memory cards, and there is also a convenient opening for the cameras wrist strap.",Refurbished
"""73.4GB 10K SCSI HD **Refurbished** Memory""","TOSHIBA N300 3.5"" 7200 RPM NAS HDD6TB 3 Years Replacement Warranty",Refurbished
"""73GB 15K U320 SCSI 80PIN HDD **Refurbished** Harddrives / SSD""","The Micon IP320E iGuard 320E IP/Network Camera features a 2port network video server as small as a deck of cards, but functions as powerfully as any dedicated computerbased video streaming system. The iGuard is the only IP camera solution on the market today that has a builtin expansions port to which a large selection of USB cameras can be attached. With its upgraded webvideoserver, the iGuard IP camera allows the user to stream video to the Internet through a wired or wireless network and record images directly on to an attached USB drive or to the harddrive on a remote PC. The included iGuardView PC based client software allows the user to monitor and record multiple cameras on one PC.",Refurbished
"""146.8GB 15K HDD **Refurbished** Harddrives / SSD""","E3 is your number one choice when you're looking for lightweight, nobulk, slipon support for knees, Achilles tendons, ankles and wrists. Elite Engineered Elastics is precisely thata higher grade and superior designed elastic. With flatknit technology we've created a more formfitting, breathable, comfortable and effective support system. give your joints the ELITE TREATMENT.",Refurbished
"""FC1972 146GB 15K SCSIU320LVD **Refurbished** Other Option Products""","PowerEdge R650xs; 2 x Intel Xeon Silver 4310 2.1G, 12C/24T, 10.4GT/s, 18M Cache, Turbo, HT (120W) DDR42666; 2 x 16GB RDIMM, 3200MT/s, Dual Rank; 2.4TB 10K RPM SAS ISE 12Gbps 512e 2.5in Hotplug Hard Drive; Dual, Hotplug, PSU (1+1), 800, Mixed Mode; PERC H355 Controller Front; ReadyRails Sliding Rails Without Cable Management Arm; iDRAC9, Enterprise 15G",Refurbished
"""GXT135P GFX Adaptor **Refurbished** Electrical Parts""","DELL DAV2216G01 16Port Analog, Upgradable to Digital KVM Switch with 2 Local Users, 1 Power Supply",Refurbished
"""73.4GB 10KRPM 80PIN LVD  U320 **Refurbished** Memory""",APC Basic RackMount PDU  power distribution strip,Refurbished
"""300GB 10K SCSI HDD **Refurbished** Harddrives / SSD""","The Heath/Zenith 270Degree Triple Head Halogen Motion Sensing Security Light is the perfect way to add motionactivated lighting to your home. It features a motion detection range of up to 100 ft. and a sensing angle of 270degrees, which gives you up to 23,500 sq. ft. of motion protection! Patented swivel arms allow you to point light exactly where you need it, while an adjustable motion sensor allows for easy aiming. Plus, it's designed with twolevel DualBrite lighting, which provides a soft accent light for nighttime use as well as a fullpower security light when motion is detected. A builtin photocell turns the light off during the day and on at night, while the manual override allows you to turn the light on and off as needed.",Refurbished
"""300GB 10K SCSI HDD **Refurbished** Harddrives / SSD""","Your iPhone needs some serious protection, and the Speck MightyShell iPhone 6/6s Plus Case provides just that! This case offers 2x militarygrade drop tested protection for your iPhone 6/6S Plus and has a onepiece multilayered design with three builtin layers, including Radial Impact Geometry, to give your phone some serious protection against drops and shock. The case also features rubberized covers that shield the volume and power buttons, while keeping them accessible, and a TPE liner that protects the ports during drops, without compromising sound or photo quality.",Refurbished
"""146.8GB 15K HDD **Refurbished** Harddrives / SSD""","PowerEdge R540 Server, Intel Xeon Silver 4110 2.1G, 8C/16T, 9.6GT/s , 11M Cache, 3.5"" Chassis with up to 8 Hot Plug Hard Drives, 16GB RDIMM, 2666MT/s, Dual Rank, 300GB 15K RPM SAS 12Gbps 512n 2.5in Hotplug Hard, PERC H330+ RAID Controller,  iDRAC9 Express /DVD+/RW, SATA, Internal for 4HDD chassis/ DualPort 1GbE OnBoard LOM / C13 to C14, PDU Style, 10 AMP, 6.5 Feet (2m), Power Cord/ 1x16 FH, 3xLP, 1CPU /Dual Hot Plug Power Supplies 495W / 3Yrs Basic Warranty  NBD (Emerging Only)",Refurbished
"""10/100/1000 BaseTX **Refurbished** Network""","Power Edge R340 Intel Xeon E2124 3.3GHz, 8M cache, 4C/4T, turbo (71W), 8GB 2666MT/s DDR4 ECC UDIMM, 1 x 2TB 7.2K RPM NLSAS 12Gbps 512n 3.5in HotPlug Hard Drive ,PERC H330 Integrated RAID Controller, DVD+/RW, SATA, Internal, PCIe Riser, 1x FH x8 PCIe Gen3 slot, 1x LP x4 PCIe Gen3 slot, R240/R340, iDrac9, Express, Single Hot Plug Power Supplies 350W, OnBoard LOM 1GBE Dual Port ,  3Yrs Basic Warranty.",Refurbished
"""3 Button USB Mouse **Refurbished** Keyboard/Mouse""","PE R730 (3.5"" Chassis with up to 8 Hard Drives) / Intel Xeon E52620 v4 (2.1GHz,20M Cache,8.00GT/s QPI,Turbo,HT,8C/16T 85W) / 8GB (1x 8GB 2666MT/s, RDIMM, Low Volt, Dual Rank) / Heat Sink for Power Edge R730 / 1 x 1.2TB 10K RPM SAS 2.5in Hotplug Hard Drive,3.5in HYB CARR / PERC H730 Integrated RAID Controller, 1GB Cache / 16X DVD+/RW Drive / Single Hotplug Power Supply (1+0), 495W/ iDRAC8 Express / Broadcom 5720 QP 1Gb Network Daughter Card / 3Yrs Basic Warranty  NBD (Emerging Only)",Refurbished
"""8320 Power/Led Cable **Refurbished** Bags/cables""","PE R430 (Up to 8x 2.5"" Hot Plug HDDs) / Intel Xeon E52620 v4 (2.1GHz,20M Cache,8.00GT/s QPI,Turbo,HT,8C/16T 85W)  / 8GB RDIMM, 2666MT/s, Single Rank/ 1 x 1TB 7.2K RPM NearLine SAS 2.5in Hotplug Hard Drive / PERC H330 Integrated RAID Controller / DVD+/RW, SATA, Internal for 4HDD chassis/ iDRAC8, Express / Riser with Two x16 PCIe Gen3 LP slots (x16 PCIe lanes), R430/ Dual Hot Plug Power Supplies 550W / 3Yrs Basic Warranty  NBD (Emerging Only)",Refurbished
